C,FFGRL,FFQRH,RSSLOPE,RSXA,RPSTP, QTP,FFQRSD,RRR,RRPOST,FFRR2NDUR,TMA1mean,FMA2std,FMA2mean
1,119.44,37,154,95,0.96037,1.606,2.1801,1.514,-102.95,51.474,0.012148,0.21232,0.20621
1,88.889,25,144,91,0.96164,1.7116,2.2637,1.6079,-100.61,50.304,0.017749,0.21626,0.20734
1,83.333,24,146,94,0.88104,1.5649,2.1217,1.4039,-94.297,47.148,0.018595,0.21892,0.20956
1,86.111,24,142,90,0.84941,1.49,2.0851,1.3873,-92.672,46.336,0.014279,0.22192,0.21494
1,83.333,22,144,93,0.91545,1.5968,2.2821,1.4843,-95.086,47.543,0.019391,0.21467,0.20508
1,83.333,23,142,90,1.0527,1.8764,2.4762,1.7316,-103.18,51.588,0.0181,0.22541,0.21626
1,144.44,44,164,88,1.0802,1.7613,2.3602,1.6209,-98.341,49.17,0.017517,0.21434,0.20557
1,88.889,25,143,90,1.0374,1.8359,2.4547,1.7081,-109.1,54.549,0.020305,0.22429,0.2141
1,83.333,23,143,91,1.0344,1.8446,2.4336,1.674,-101.4,50.7,0.017578,0.22252,0.21377
1,86.111,25,147,94,1.0499,1.9177,2.3774,1.7412,-105.66,52.83,0.014762,0.2289,0.22153
1,86.111,25,147,95,0.96843,1.7741,2.2377,1.5942,-105.67,52.835,0.013551,0.23481,0.2279
1,88.889,24,142,90,0.93469,1.6306,2.3054,1.5251,-102.46,51.232,0.02034,0.21799,0.20775
1,88.889,24,144,92,0.91351,1.5824,2.2776,1.4684,-101.23,50.613,0.022449,0.21747,0.20613
1,86.111,25,140,87,1.0914,1.9815,2.4885,1.818,-110.6,55.301,0.018028,0.23589,0.22669
1,83.333,23,145,93,0.94251,1.7164,2.159,1.4763,-89.96,44.98,0.026554,0.19773,0.18383
1,88.889,25,143,91,1.0298,1.8441,2.463,1.7458,-116.31,58.155,0.019838,0.21649,0.20643
1,88.889,25,145,92,0.93085,1.6284,2.2439,1.4891,-99.727,49.864,0.018916,0.21719,0.2075
1,86.111,24,144,91,1.1283,2.0423,2.5564,1.85,-106.52,53.258,0.019238,0.23843,0.22881
1,86.111,24,146,94,0.8389,1.4638,2.0757,1.2638,-92.252,46.126,0.025682,0.19732,0.18367
1,88.889,24,146,94,0.96103,1.6974,2.3266,1.5977,-103.4,51.702,0.021881,0.22408,0.21312
1,83.333,23,144,91,0.98834,1.7424,2.3017,1.5461,-89.511,44.756,0.021327,0.20901,0.19824
1,86.111,24,146,93,0.96586,1.7409,2.2131,1.5986,-92.214,46.107,0.020296,0.21041,0.20054
1,88.889,24,144,91,1.0407,1.8337,2.4489,1.6915,-102.04,51.018,0.023178,0.20767,0.196
1,83.333,23,142,90,0.94152,1.6812,2.2192,1.5317,-92.466,46.233,0.017577,0.21413,0.20551
1,88.889,25,144,91,1.0752,1.95,2.4573,1.7689,-109.21,54.606,0.017779,0.23376,0.22474
1,91.667,25,144,91,0.9821,1.7191,2.3617,1.6069,-104.96,52.482,0.017618,0.2172,0.20846
1,86.111,24,143,91,1.0057,1.7864,2.4105,1.6463,-107.13,53.567,0.018437,0.2243,0.21493
1,86.111,24,146,94,0.96709,1.7467,2.2637,1.5748,-100.61,50.304,0.019258,0.20949,0.19967
1,86.111,24,146,93,0.94419,1.687,2.1897,1.4809,-91.236,45.618,0.018004,0.20842,0.19929
1,86.111,24,146,94,0.98433,1.7617,2.3346,1.6451,-103.76,51.88,0.020277,0.21197,0.20195
1,88.889,25,144,92,0.93359,1.6837,2.2161,1.5122,-104.65,52.324,0.016845,0.21907,0.21049
1,88.889,25,145,92,0.95376,1.6965,2.2475,1.5182,-99.891,49.945,0.018318,0.21348,0.20423
1,88.889,25,144,92,0.93173,1.6697,2.2344,1.5164,-105.52,52.758,0.016773,0.2073,0.19862
1,86.111,24,146,94,0.93748,1.6424,2.2984,1.5341,-102.15,51.075,0.021956,0.21625,0.20535
1,86.111,24,145,93,0.99258,1.7815,2.3435,1.6188,-104.15,52.077,0.020357,0.22356,0.21311
1,83.333,23,145,93,0.9462,1.6939,2.2218,1.5355,-92.575,46.287,0.021243,0.2141,0.20354
1,83.333,23,145,92,0.98949,1.7499,2.2959,1.5567,-89.284,44.642,0.022111,0.20159,0.19037
1,91.667,25,145,92,1.0391,1.8203,2.4916,1.7167,-110.74,55.368,0.023193,0.21292,0.20109
1,83.333,24,146,94,1.0798,1.9485,2.5193,1.7972,-111.97,55.984,0.019252,0.22414,0.21461
1,88.889,25,145,92,0.99436,1.777,2.3254,1.6089,-103.35,51.675,0.0182,0.22279,0.21355
1,86.111,24,138,86,0.98887,1.7943,2.2962,1.5954,-102.05,51.027,0.019358,0.21565,0.2059
1,88.889,25,144,91,1.0689,1.9031,2.5063,1.786,-111.39,55.695,0.020925,0.21874,0.20825
1,83.333,24,144,92,1.0246,1.8369,2.4198,1.687,-107.55,53.774,0.017526,0.22548,0.21674
1,88.889,25,142,89,1.0442,1.8734,2.4251,1.6635,-107.78,53.892,0.016925,0.22738,0.21869
1,80.556,23,145,93,1.0442,1.9026,2.3799,1.6776,-99.163,49.581,0.025519,0.21004,0.1967
1,91.667,25,142,88,1.0701,1.8697,2.5055,1.7642,-104.4,52.198,0.020102,0.21674,0.2068
1,88.889,25,146,93,1.1544,2.1058,2.6086,1.8798,-115.94,57.969,0.018846,0.22876,0.2192
1,86.111,24,146,94,0.96729,1.7614,2.2357,1.5354,-99.365,49.683,0.016799,0.22121,0.21255
1,83.333,24,146,94,1.039,1.9153,2.3479,1.6791,-104.35,52.176,0.021125,0.22097,0.21012
1,88.889,24,146,94,1.049,1.8688,2.4983,1.7338,-111.04,55.519,0.020797,0.21927,0.20869
1,80.556,22,141,90,0.96447,1.7074,2.3452,1.5588,-97.716,48.858,0.021976,0.2231,0.21232
1,86.111,24,146,94,0.91141,1.6425,2.1453,1.4246,-95.345,47.672,0.021396,0.21047,0.19927
1,88.889,24,144,91,0.99447,1.7458,2.3543,1.5745,-98.094,49.047,0.022964,0.20833,0.19637
1,80.556,22,139,88,0.95069,1.7164,2.2421,1.4863,-93.42,46.71,0.022242,0.2179,0.2068
1,86.111,24,146,94,1.0323,1.8738,2.3914,1.6611,-106.28,53.142,0.020851,0.21962,0.20893
1,86.111,24,146,93,0.93567,1.6257,2.2475,1.4462,-93.644,46.822,0.021123,0.20347,0.19277
1,86.111,24,146,93,1.0835,1.9178,2.5314,1.7838,-105.47,52.737,0.023665,0.21456,0.20252
1,86.111,24,146,93,1.0257,1.8289,2.3787,1.6294,-99.113,49.557,0.022406,0.20946,0.19808
1,88.889,24,143,91,0.9043,1.5994,2.1894,1.4368,-97.306,48.653,0.018693,0.20972,0.20034
1,83.333,23,142,91,0.83093,1.4875,2.0225,1.3063,-89.891,44.945,0.016991,0.20868,0.20007
1,136.11,42,168,93,0.98706,1.6348,2.1771,1.4727,-96.759,48.379,0.018165,0.20684,0.19774
1,91.667,26,144,91,0.9687,1.7201,2.3113,1.5941,-109.14,54.572,0.02321,0.21497,0.20313
1,88.889,25,147,94,1.0794,1.9473,2.4844,1.7377,-110.42,55.21,0.017771,0.22963,0.22064
1,83.333,23,145,93,1.0372,1.895,2.3551,1.6702,-98.13,49.065,0.022126,0.21701,0.20573
1,91.667,26,148,94,1.041,1.9015,2.3335,1.6656,-103.71,51.857,0.019203,0.21134,0.20122
1,83.333,23,145,94,0.80716,1.4183,2.0273,1.3309,-90.101,45.05,0.019773,0.2013,0.19164
1,86.111,24,142,90,0.96017,1.7238,2.269,1.5703,-100.84,50.421,0.019092,0.21616,0.2065
1,86.111,24,146,93,1.0546,1.9203,2.3767,1.6934,-99.031,49.515,0.025088,0.20578,0.19271
1,83.333,23,145,93,0.97403,1.7265,2.3167,1.5779,-96.529,48.264,0.024331,0.20738,0.19506
1,86.111,24,146,93,1.0037,1.7965,2.3181,1.6325,-96.586,48.293,0.019002,0.2159,0.20636
1,86.111,24,146,94,0.87694,1.5811,2.0653,1.3944,-91.793,45.897,0.022078,0.203,0.19169
1,83.333,24,145,92,0.95626,1.7223,2.194,1.5258,-91.415,45.708,0.015869,0.21964,0.21172
1,86.111,23,145,93,0.9268,1.6527,2.19,1.459,-91.249,45.625,0.022634,0.19435,0.18262
1,88.889,25,145,92,1.0952,1.9706,2.5288,1.8878,-112.39,56.196,0.022782,0.21596,0.20458
1,83.333,23,142,90,0.97849,1.7687,2.2628,1.5744,-94.282,47.141,0.017109,0.21939,0.2109
1,86.111,24,144,92,0.93932,1.7132,2.1681,1.5149,-96.359,48.18,0.020448,0.21211,0.20174
1,86.111,25,145,93,0.9307,1.7056,2.1524,1.4857,-101.64,50.821,0.014711,0.22481,0.21729
1,91.667,25,145,92,0.99819,1.748,2.3979,1.6348,-106.57,53.286,0.023969,0.21119,0.19887
0,86.111,21,142,92,1.1966,2.1543,2.8467,1.6855,-118.61,59.306,0.062714,0.21771,0.18095
1,86.111,25,145,92,0.96829,1.7394,2.2504,1.5719,-100.02,50.009,0.018588,0.22083,0.21125
1,77.778,22,144,93,0.82871,1.485,1.9894,1.2556,-82.89,41.445,0.024002,0.20454,0.19212
1,91.667,26,148,94,0.88915,1.5521,2.1168,1.3993,-94.081,47.04,0.019605,0.20464,0.19455
1,88.889,24,144,92,0.95958,1.6939,2.325,1.5925,-103.33,51.667,0.019335,0.21806,0.20848
0,138.89,43,198,123,1.0832,1.7918,2.3812,1.7795,-105.83,52.915,0.017687,0.2186,0.20287
1,86.111,25,147,94,1.0244,1.877,2.3111,1.8001,-102.72,51.358,0.027115,0.19317,0.17862
1,86.111,25,147,94,1.0213,1.8799,2.2894,1.625,-101.75,50.875,0.018575,0.22943,0.21989
1,108.33,31,151,91,0.8673,1.4671,2.0098,1.32,-89.323,44.661,0.018393,0.19975,0.19034
1,86.111,24,146,94,0.95906,1.6968,2.3161,1.5943,-102.94,51.469,0.026181,0.20831,0.19498
1,86.111,24,146,93,1.051,1.8636,2.4525,1.6478,-102.19,51.093,0.022539,0.21178,0.20003
1,83.333,24,146,94,0.95826,1.7559,2.1939,1.5093,-97.506,48.753,0.023603,0.19914,0.18663
1,86.111,24,146,94,0.98169,1.7412,2.3601,1.6284,-104.89,52.447,0.023646,0.21574,0.20401
1,88.889,25,145,92,1.0779,1.9219,2.5215,1.7139,-112.07,56.033,0.021436,0.21397,0.20277
1,86.111,24,145,92,1.0288,1.8395,2.3772,1.6685,-99.051,49.526,0.019288,0.21562,0.20591
1,86.111,23,145,93,0.89429,1.5892,2.126,1.3878,-88.585,44.292,0.02145,0.19865,0.18752
1,88.889,24,146,94,0.91981,1.6056,2.2681,1.5031,-100.81,50.403,0.020923,0.21543,0.20489
1,83.333,23,142,90,1.0428,1.8732,2.4271,1.6504,-101.13,50.565,0.018043,0.21849,0.20952
1,88.889,25,144,91,1.046,1.9311,2.3325,1.7202,-103.67,51.834,0.015319,0.22478,0.21693
1,83.333,23,145,93,1.0271,1.8771,2.3325,1.6335,-97.189,48.595,0.021947,0.19939,0.18954
1,91.667,25,146,93,0.95565,1.664,2.3157,1.5519,-102.92,51.459,0.019337,0.21486,0.20509
1,86.111,25,144,91,1.0537,1.8814,2.4621,1.7378,-109.43,54.714,0.01552,0.22564,0.2178
1,86.111,25,144,91,1.0848,1.9976,2.4244,1.8135,-107.75,53.876,0.01219,0.22582,0.21957
1,86.111,25,143,90,1.0461,1.9447,2.3088,1.7229,-102.61,51.307,0.01417,0.21428,0.20707
1,88.889,24,146,93,0.91813,1.6557,2.1056,1.4173,-87.735,43.867,0.017707,0.19863,0.1893
1,86.111,24,144,92,0.9313,1.6406,2.2657,1.513,-100.7,50.35,0.021021,0.21683,0.2064
1,83.333,23,143,91,1.0032,1.7762,2.3869,1.6495,-99.454,49.727,0.016152,0.21801,0.20982
1,80.556,23,142,90,0.93943,1.7024,2.1679,1.4804,-90.33,45.165,0.01982,0.20787,0.19773
1,86.111,24,143,90,0.93654,1.6379,2.2317,1.4673,-92.988,46.494,0.019246,0.20765,0.19786
1,86.111,24,146,94,0.99977,1.7724,2.4035,1.6733,-106.82,53.412,0.021576,0.22502,0.21424
1,86.111,23,143,91,1.0496,1.8774,2.4573,1.7014,-102.39,51.193,0.020324,0.21832,0.20794
1,83.333,24,143,90,1.1397,2.09,2.5357,1.8455,-105.65,52.827,0.022509,0.22475,0.21323
1,86.111,23,145,93,1.0166,1.7863,2.4432,1.6468,-101.8,50.901,0.023475,0.21409,0.20241
1,86.111,24,145,93,1.0446,1.8679,2.4745,1.7561,-109.98,54.989,0.017971,0.23883,0.23017
1,83.333,24,146,93,1.1373,2.0916,2.5211,1.8825,-105.05,52.523,0.018728,0.2317,0.2224
1,88.889,25,147,94,0.94148,1.7091,2.1584,1.4936,-95.927,47.964,0.019201,0.20968,0.19967
1,86.111,24,146,93,1.096,1.9631,2.5204,1.8644,-105.02,52.509,0.019621,0.22108,0.21169
1,88.889,25,146,93,0.96924,1.7341,2.2651,1.5489,-100.67,50.335,0.019603,0.22243,0.21239
1,83.333,24,144,92,0.99416,1.8337,2.2489,1.641,-99.952,49.976,0.017109,0.23285,0.22432
1,86.111,23,141,90,0.86728,1.5324,2.1535,1.3842,-95.709,47.855,0.023556,0.21034,0.19816
1,86.111,24,144,92,0.96014,1.7231,2.2701,1.6353,-100.89,50.447,0.023548,0.2187,0.20693
1,86.111,24,145,92,1.1104,2.0297,2.4842,1.8467,-103.51,51.755,0.018454,0.22571,0.21649
1,86.111,24,140,87,1.1455,2.1234,2.5104,1.9379,-104.6,52.301,0.023574,0.22377,0.21215
1,86.111,24,142,90,0.99169,1.7816,2.3381,1.7029,-103.91,51.957,0.023257,0.21438,0.20271
1,88.889,25,146,93,1.0422,1.888,2.3881,1.7594,-106.14,53.07,0.023879,0.22374,0.21163
1,83.333,23,142,90,1.0401,1.9051,2.3528,1.7121,-98.034,49.017,0.019112,0.22335,0.21373
1,83.333,23,145,94,0.82831,1.462,2.0638,1.3296,-91.724,45.862,0.022844,0.20504,0.19357
1,86.111,24,144,92,1.0116,1.8059,2.4059,1.7434,-106.93,53.464,0.020984,0.22261,0.21228
1,83.333,24,144,92,1.1111,2.0509,2.4978,1.9122,-111.01,55.507,0.02199,0.23988,0.22911
1,86.111,23,145,93,0.96262,1.7571,2.1958,1.562,-91.491,45.745,0.022373,0.20658,0.19529
1,91.667,25,145,92,0.97645,1.7234,2.3233,1.6167,-103.26,51.63,0.02653,0.21334,0.19967
1,83.333,23,141,89,1.0461,1.8797,2.4336,1.706,-101.4,50.7,0.025281,0.21423,0.20151
1,88.889,26,145,92,1.0142,1.8843,2.2596,1.6937,-106.7,53.352,0.015515,0.23123,0.22357
1,108.33,32,149,89,1.0047,1.7475,2.2567,1.6335,-100.3,50.149,0.014039,0.21117,0.20421
1,88.889,25,147,94,1.0515,1.8887,2.4374,1.8168,-108.33,54.165,0.014978,0.21903,0.21156
1,83.333,24,142,90,0.94986,1.7319,2.1924,1.5457,-97.439,48.719,0.017797,0.22253,0.21372
1,100,28,154,93,0.90276,1.5374,2.0997,1.3955,-87.489,43.745,0.017478,0.20577,0.19689
1,86.111,24,140,88,0.96437,1.7123,2.3164,1.6305,-102.95,51.476,0.016662,0.21915,0.21109
1,86.111,24,143,90,1.0578,1.905,2.4187,1.7598,-100.78,50.389,0.017236,0.2227,0.21419
1,86.111,25,144,91,0.94892,1.7177,2.1836,1.522,-97.049,48.525,0.015565,0.21762,0.20976
1,91.667,26,148,95,0.88701,1.5737,2.1242,1.4071,-100.31,50.154,0.016116,0.21274,0.20454
1,86.111,24,145,92,1.0186,1.797,2.3947,1.6779,-99.777,49.889,0.019641,0.20949,0.19987
1,83.333,24,146,94,0.97928,1.7947,2.2396,1.5866,-99.538,49.769,0.017162,0.22664,0.21792
1,77.778,20,137,87,0.95539,1.6745,2.3852,1.4554,-92.759,46.379,0.038659,0.20342,0.18413
1,86.111,24,144,92,0.95363,1.6881,2.3018,1.573,-102.3,51.15,0.02472,0.20975,0.19711
1,88.889,25,146,93,0.98255,1.7757,2.2637,1.5884,-100.61,50.304,0.015763,0.22237,0.21431
1,83.333,23,145,94,0.77847,1.3756,1.94,1.2174,-86.223,43.111,0.021095,0.19534,0.18458
1,88.889,25,144,92,0.93383,1.6682,2.2503,1.5769,-106.27,53.133,0.018607,0.21292,0.2035
1,86.111,25,147,94,1.056,1.9253,2.3967,1.7097,-106.52,53.26,0.016671,0.22178,0.2133
1,88.889,25,145,92,1.041,1.9146,2.3349,1.6963,-103.77,51.886,0.019894,0.21864,0.20849
1,83.333,24,146,94,0.8733,1.5406,2.1247,1.3922,-94.429,47.215,0.022299,0.21045,0.19929
1,86.111,23,143,91,0.96628,1.6986,2.3255,1.5383,-96.895,48.448,0.020196,0.21288,0.20248
1,83.333,23,145,93,0.92918,1.6975,2.1197,1.4782,-88.319,44.16,0.023617,0.19575,0.18347
1,88.889,24,144,92,0.99598,1.7698,2.3864,1.6464,-106.06,53.032,0.021723,0.22459,0.21368
1,88.889,25,146,93,1.1195,2.0142,2.5826,1.8856,-114.78,57.391,0.020749,0.23354,0.2231
1,86.111,25,147,94,0.94872,1.7408,2.1416,1.5146,-95.183,47.591,0.014827,0.22408,0.2165
1,86.111,24,146,94,0.87003,1.5451,2.0964,1.3524,-93.172,46.586,0.022141,0.19923,0.18776
1,86.111,24,146,93,1.0457,1.8486,2.4501,1.7095,-102.09,51.044,0.016581,0.22358,0.21522
1,77.778,22,140,89,0.88612,1.6129,2.0686,1.3959,-86.192,43.096,0.022137,0.20784,0.19638
1,83.333,24,144,92,1.0181,1.8743,2.3078,1.6176,-102.57,51.283,0.013585,0.22359,0.21651
1,86.111,24,140,87,0.94992,1.708,2.1846,1.4885,-91.026,45.513,0.022051,0.19853,0.18704
1,86.111,23,145,93,1.0197,1.7921,2.4498,1.6787,-102.08,51.038,0.024135,0.21757,0.20549
1,86.111,24,146,94,0.93214,1.6651,2.2217,1.4847,-98.742,49.371,0.020102,0.22003,0.20981
1,83.333,24,143,91,1.0209,1.8734,2.3258,1.6583,-103.37,51.685,0.017232,0.21549,0.20659
1,88.889,24,145,93,0.80572,1.3844,2.0388,1.2355,-90.614,45.307,0.019232,0.20047,0.19038
1,88.889,24,146,94,0.96043,1.6787,2.3602,1.5686,-104.9,52.45,0.022989,0.21601,0.20464
1,88.889,25,147,94,1.1076,1.9994,2.5447,1.8296,-113.1,56.55,0.019218,0.23725,0.22757
1,83.333,24,143,91,0.99802,1.8182,2.3021,1.5801,-102.32,51.159,0.017743,0.22168,0.21249
1,86.111,23,143,91,0.97529,1.7038,2.3663,1.5769,-98.595,49.298,0.021648,0.20465,0.19365
1,88.889,25,146,93,1.1477,2.0517,2.6682,1.9597,-118.59,59.294,0.023035,0.22746,0.21594
1,86.111,24,145,93,1.0147,1.826,2.3837,1.6834,-105.94,52.971,0.015347,0.23228,0.22462
1,83.333,24,146,93,1.068,1.9317,2.4276,1.702,-101.15,50.574,0.022106,0.21313,0.20168
0,86.111,26,147,94,0.95521,1.7556,2.1681,1.6297,-102.38,51.191,0.012944,0.22757,0.22112
1,83.333,22,142,91,0.93238,1.626,2.323,1.505,-96.794,48.397,0.022821,0.21196,0.20056
1,83.333,24,146,93,1.0122,1.8274,2.3109,1.612,-96.289,48.145,0.014695,0.22502,0.21731
1,88.889,25,147,94,1.0393,1.8538,2.4332,1.6835,-108.14,54.072,0.020535,0.2147,0.2042
1,83.333,23,145,94,0.95585,1.701,2.3363,1.6086,-103.83,51.917,0.020415,0.22418,0.21415
1,86.111,24,146,93,1.0564,1.8826,2.4489,1.701,-102.04,51.019,0.02148,0.21091,0.19984
1,86.111,24,146,94,0.95876,1.7048,2.2984,1.5798,-102.15,51.075,0.016836,0.21021,0.20175
1,91.667,25,147,94,1.1104,1.9757,2.6016,1.8752,-115.63,57.814,0.021841,0.22387,0.21284
1,83.333,23,142,90,0.92819,1.6321,2.2362,1.4478,-93.177,46.589,0.019042,0.21767,0.20805
1,86.111,24,143,91,1.0113,1.847,2.3225,1.6791,-103.22,51.61,0.022565,0.21478,0.20316
1,83.333,23,145,94,0.84412,1.4855,2.1117,1.3565,-93.851,46.926,0.021603,0.21261,0.20202
1,86.111,24,144,91,1.0578,1.8815,2.4579,1.7063,-102.41,51.205,0.018232,0.2202,0.21102
1,86.111,25,147,94,1.0941,2.0074,2.4575,1.852,-109.22,54.611,0.01168,0.22723,0.22129
1,86.111,24,142,90,0.95384,1.6926,2.2939,1.5932,-101.95,50.976,0.016808,0.20928,0.2007
0,191.67,48,172,120,0.94599,1.8154,2.2354,1.7169,-248.37,124.19,0.0097413,0.22675,0.22182
1,88.889,25,144,91,1.0359,1.8617,2.4005,1.7049,-106.69,53.344,0.020498,0.21882,0.2084
0,166.67,59,188,126,1.5714,2.8954,3.6677,2.624,-417.71,208.86,0.0022286,0.42368,0.42054
1,91.667,25,140,87,0.99726,1.7283,2.4279,1.673,-107.91,53.953,0.020675,0.20361,0.19304
0,169.44,60,177,119,1.5871,2.9393,3.6452,2.6931,-415.15,207.58,0.0022478,0.40826,0.40509
1,83.333,24,146,94,0.98446,1.786,2.287,1.6846,-101.65,50.823,0.025808,0.21182,0.19822
0,188.89,67,193,125,1.6633,2.891,3.9908,2.6024,-454.51,227.25,0.0029634,0.51838,0.5142
1,83.333,23,143,91,0.98493,1.7053,2.4177,1.634,-100.74,50.369,0.025803,0.19466,0.1809
0,177.78,63,190,128,1.6503,3.0463,3.7439,2.8118,-426.39,213.2,0.0025533,0.41066,0.40706
1,86.111,24,141,89,0.89586,1.5947,2.1492,1.535,-95.522,47.761,0.02269,0.19915,0.18755
0,211.11,55,180,122,1.4228,2.6975,3.235,2.4604,-368.43,184.22,0.001586,0.31513,0.31289
1,83.333,23,142,90,0.97154,1.6931,2.3653,1.5726,-98.556,49.278,0.02478,0.21366,0.20107
0,194.44,49,172,120,1.1594,2.2387,2.6596,1.9856,-302.9,151.45,0.0037853,0.26814,0.26536
1,86.111,24,146,93,1.0601,1.9244,2.3986,1.7604,-99.943,49.972,0.014662,0.22243,0.21493
1,86.111,25,145,92,1.0806,2.0043,2.39,1.767,-106.22,53.111,0.0093307,0.23352,0.22859
1,80.556,23,144,92,1.0227,1.875,2.3119,1.6783,-96.328,48.164,0.015596,0.21664,0.20885
0,197.22,50,172,119,1.2745,2.4651,2.8601,2.2038,-325.73,162.86,0.007633,0.26383,0.25965
1,88.889,23,142,90,0.95399,1.6381,2.3701,1.5075,-98.753,49.376,0.025679,0.20345,0.19021
0,80.556,23,145,93,1.1771,2.1466,2.6632,1.9099,-110.96,55.482,0.019641,0.23523,0.22507
1,86.111,25,144,91,1.0175,1.9267,2.1862,1.6579,-97.162,48.581,0.029894,0.20005,0.18281
0,86.111,25,145,92,1.0656,1.9532,2.3995,1.771,-106.65,53.323,0.012602,0.22504,0.21874
1,88.889,25,143,90,0.94024,1.6458,2.264,1.511,-100.62,50.312,0.020077,0.19902,0.18848
0,188.89,47,171,119,1.0763,2.0794,2.4543,1.9919,-265.88,132.94,0.016674,0.20762,0.19937
1,88.889,25,147,95,1.023,1.8273,2.4568,1.7271,-116.02,58.008,0.02283,0.22456,0.21265
0,197.22,50,175,122,1.2031,2.3252,2.7147,2.0515,-309.17,154.58,0.020753,0.22385,0.21205
1,86.111,24,144,92,0.85595,1.5292,2.0455,1.3381,-90.91,45.455,0.0185,0.19771,0.18796
0,208.33,54,176,119,1.3385,2.5646,2.9897,2.3513,-340.5,170.25,0.0016698,0.2887,0.28667
1,86.111,23,141,90,0.95024,1.6784,2.3518,1.6198,-104.52,52.261,0.02796,0.2054,0.19086
0,194.44,49,171,119,1.2733,2.4697,2.8528,2.2815,-324.91,162.45,0.0089274,0.25228,0.24752
1,88.889,25,146,93,1.1541,2.0838,2.646,1.9637,-117.6,58.8,0.02476,0.22405,0.2109
0,205.56,53,175,119,1.2989,2.4849,2.9386,2.2943,-334.67,167.34,0.0013203,0.27843,0.27657
